Prediction,Actual,Error %,,Average Error %
6.19,6.11,1.309328969,,
6.3,6.11,3.109656301,,
6.3,6.11,3.109656301,,
6.11,6.11,0,,
6.11,6.11,0,,
5.92,6.11,3.109656301,,
5.92,6.11,3.109656301,,
6.02,6.11,1.47299509,,
6.02,6.11,1.47299509,,
6.24,6.11,2.127659574,,
6.24,6.11,2.127659574,,
6.19,6.11,1.309328969,,
6.19,6.11,1.309328969,,
6.25,6.12,2.124183007,,
6.25,6.12,2.124183007,,
6.33,6.12,3.431372549,,
6.33,6.12,3.431372549,,
6.21,6.12,1.470588235,,
6.21,6.12,1.470588235,,
6.19,6.12,1.14379085,,
6.19,6.12,1.14379085,,
6.18,6.12,0.980392157,,
6.18,6.12,0.980392157,,
6.2,6.12,1.307189542,,
6.2,6.12,1.307189542,,
6.03,6.13,1.63132137,,
6.03,6.13,1.63132137,,
6.19,6.13,0.978792822,,
6.19,6.13,0.978792822,,
6.11,6.13,0.326264274,,
6.11,6.13,0.326264274,,
5.94,6.13,3.099510604,,
5.94,6.13,3.099510604,,
6.26,6.13,2.120717781,,
6.26,6.13,2.120717781,,
6.11,6.13,0.326264274,,
6.11,6.13,0.326264274,,
6.27,6.13,2.283849918,,
6.27,6.13,2.283849918,,
6.29,6.13,2.610114192,,
6.29,6.13,2.610114192,,
6.08,6.13,0.815660685,,
6.08,6.13,0.815660685,,
5.97,6.14,2.768729642,,
5.97,6.14,2.768729642,,
6.3,6.14,2.605863192,,
6.3,6.14,2.605863192,,
6.28,6.14,2.280130293,,
6.28,6.14,2.280130293,,
6.12,6.14,0.325732899,,
6.12,6.14,0.325732899,,
6.02,6.15,2.113821138,,
6.02,6.15,2.113821138,,
6.21,6.15,0.975609756,,
6.21,6.15,0.975609756,,
5.94,6.15,3.414634146,,
5.94,6.15,3.414634146,,
6.49,6.15,5.528455285,,
6.49,6.15,5.528455285,,
6.11,6.15,0.650406504,,
6.11,6.15,0.650406504,,
6.01,6.15,2.276422764,,
6.01,6.15,2.276422764,,
6.19,6.15,0.650406504,,
6.19,6.15,0.650406504,,
6.05,6.15,1.62601626,,
6.05,6.15,1.62601626,,
6.27,6.16,1.785714286,,
6.27,6.16,1.785714286,,
6.16,6.16,0,,
6.16,6.16,0,,
6.04,6.16,1.948051948,,
6.04,6.16,1.948051948,,
5.79,6.16,6.006493506,,
5.79,6.16,6.006493506,,
6.1,6.16,0.974025974,,
6.1,6.16,0.974025974,,
6.19,6.16,0.487012987,,
6.19,6.16,0.487012987,,
6.12,6.17,0.810372771,,
6.12,6.17,0.810372771,,
6.16,6.17,0.162074554,,
6.16,6.17,0.162074554,,
6.17,6.17,0,,
6.17,6.17,0,,
6.26,6.17,1.458670989,,
6.26,6.17,1.458670989,,
6.11,6.17,0.972447326,,
6.11,6.17,0.972447326,,
6.28,6.17,1.782820097,,
6.28,6.17,1.782820097,,
5.88,6.17,4.700162075,,
5.88,6.17,4.700162075,,
6.36,6.18,2.912621359,,
6.36,6.18,2.912621359,,
6.16,6.18,0.323624595,,
6.16,6.18,0.323624595,,
6.01,6.18,2.750809061,,
6.01,6.18,2.750809061,,
6.26,6.18,1.294498382,,
6.26,6.18,1.294498382,,
6.37,6.18,3.074433657,,
6.37,6.18,3.074433657,,
6.08,6.18,1.618122977,,
6.08,6.18,1.618122977,,
6.17,6.18,0.161812298,,
6.17,6.18,0.161812298,,
6.19,6.18,0.161812298,,
6.19,6.18,0.161812298,,
6.06,6.19,2.100161551,,
6.06,6.19,2.100161551,,
6.31,6.19,1.938610662,,
6.31,6.19,1.938610662,,
6.31,6.19,1.938610662,,
6.31,6.19,1.938610662,,
6.36,6.19,2.746365105,,
6.36,6.19,2.746365105,,
6.22,6.19,0.484652666,,
6.22,6.19,0.484652666,,
6.18,6.19,0.161550889,,
6.18,6.19,0.161550889,,
6.33,6.19,2.261712439,,
6.33,6.19,2.261712439,,
6.24,6.19,0.807754443,,
6.24,6.19,0.807754443,,
6.43,6.2,3.709677419,,
6.43,6.2,3.709677419,,
6.2,6.2,0,,
6.2,6.2,0,,
6.39,6.2,3.064516129,,
6.39,6.2,3.064516129,,
6.22,6.2,0.322580645,,
6.22,6.2,0.322580645,,
6.35,6.2,2.419354839,,
6.35,6.2,2.419354839,,
6.35,6.2,2.419354839,,
6.35,6.2,2.419354839,,
6.39,6.21,2.898550725,,
6.39,6.21,2.898550725,,
6.31,6.21,1.610305958,,
6.31,6.21,1.610305958,,
6.14,6.21,1.127214171,,
6.14,6.21,1.127214171,,
6.17,6.21,0.644122383,,
6.17,6.21,0.644122383,,
6.29,6.21,1.288244767,,
6.29,6.21,1.288244767,,
6.3,6.21,1.449275362,,
6.3,6.21,1.449275362,,
6.15,6.21,0.966183575,,
6.15,6.21,0.966183575,,
6.3,6.22,1.286173633,,
6.3,6.22,1.286173633,,
6.55,6.22,5.305466238,,
6.55,6.22,5.305466238,,
6.38,6.22,2.572347267,,
6.38,6.22,2.572347267,,
6.24,6.22,0.321543408,,
6.24,6.22,0.321543408,,
6.36,6.22,2.250803859,,
6.36,6.22,2.250803859,,
6.19,6.22,0.482315113,,
6.19,6.22,0.482315113,,
6.14,6.23,1.444622793,,
6.14,6.23,1.444622793,,
6.22,6.23,0.160513644,,
6.22,6.23,0.160513644,,
6.03,6.23,3.210272873,,
6.03,6.23,3.210272873,,
6.06,6.23,2.728731942,,
6.06,6.23,2.728731942,,
6.29,6.23,0.963081862,,
6.29,6.23,0.963081862,,
6.31,6.23,1.284109149,,
6.31,6.23,1.284109149,,
6.3,6.23,1.123595506,,
6.3,6.23,1.123595506,,
6.14,6.23,1.444622793,,
6.14,6.23,1.444622793,,
6.26,6.24,0.320512821,,
6.26,6.24,0.320512821,,
6.32,6.24,1.282051282,,
6.32,6.24,1.282051282,,
6.27,6.24,0.480769231,,
6.27,6.24,0.480769231,,
6.25,6.24,0.16025641,,
6.25,6.24,0.16025641,,
6.67,6.24,6.891025641,,
6.67,6.24,6.891025641,,
6.25,6.24,0.16025641,,
6.25,6.24,0.16025641,,
6.25,6.25,0,,
6.25,6.25,0,,
6.2,6.25,0.8,,
6.2,6.25,0.8,,
6.42,6.25,2.72,,
6.42,6.25,2.72,,
5.76,6.25,7.84,,
5.76,6.25,7.84,,
6.28,6.25,0.48,,
6.28,6.25,0.48,,
6.28,6.25,0.48,,
6.28,6.25,0.48,,
6.23,6.25,0.32,,
6.23,6.25,0.32,,
6.11,6.25,2.24,,
